Phylogenetic_Order,Megaclass,Superclass,Class,Subclass,Infraclass,Megacohort,Supercohort,Cohort,Subcohort,Infracohort,Section,Subsection,Division,Subdivision,Series,Subseries,Superorder,Order,Suborder,Infraorder,Family,Validity,Examined/not examined,Monophyly,
Clade01a,Osteichthyes,Sarcopterygii,Coelacanthimorpha,,,,,,,,,,,,,,,Coelacanthiformes,,,Latimeriidae,Valid,Examined,Monotypic*,
Clade01b,Osteichthyes,Sarcopterygii,Dipnotetrapodomorpha,Dipnomorpha,,,,,,,,,,,,,,Ceratodontiformes,Lepidosirenoidei,,Lepidosirenidae,Valid,Examined,Monotypic*,
Clade01b,Osteichthyes,Sarcopterygii,Dipnotetrapodomorpha,Dipnomorpha,,,,,,,,,,,,,,Ceratodontiformes,Ceratodontoidei,,Neoceratodontidae,Valid,Examined,Monotypic*,
Clade01b,Osteichthyes,Sarcopterygii,Dipnotetrapodomorpha,Dipnomorpha,,,,,,,,,,,,,,Ceratodontiformes,Lepidosirenoidei,,Protopteridae,Valid,Examined,Monotypic*,
Clade02,Osteichthyes,Actinopterygii,Cladistia,,,,,,,,,,,,,,,Polypteriformes,,,Polypteridae,Valid,Examined,Yes,
Clade03,Osteichthyes,Actinopterygii,Actinopteri,Chondrostei,,,,,,,,,,,,,,Acipenseriformes,,,Acipenseridae,Valid,Examined,Yes,
Clade03,Osteichthyes,Actinopterygii,Actinopteri,Chondrostei,,,,,,,,,,,,,,Acipenseriformes,,,Polyodontidae,Valid,Examined,Monotypic*,
Clade04,Osteichthyes,Actinopterygii,Actinopteri,Neopterygii,Holostei,,,,,,,,,,,,,Amiiformes,,,Amiidae,Valid,Examined,Monotypic*,
Clade05,Osteichthyes,Actinopterygii,Actinopteri,Neopterygii,Holostei,,,,,,,,,,,,,Lepisosteiformes,,,Lepisosteidae,Valid,Examined,Yes,
