DToL	Class	Order	Superfamily	Family	Latin_name	Assembly
ilAbrTrip1.1	Insecta	Lepidoptera	Noctuoidea	Noctuidae	Abrostola_tripartita	GCA_905340225.1
ilAmpTrag2.1	Insecta	Lepidoptera	Noctuoidea	Noctuidae	Amphipyra_tragopoginis	GCA_905220435.1
ilAntCard3.1	Insecta	Lepidoptera	Papilionoidea	Pieridae	Anthocharis_cardamines	GCA_905404175.1
ilApoTurb1.1	Insecta	Lepidoptera	Torticoidea	Tortricidae	Apotomis_turbidana	GCA_905147355.1
ilAriAges1.1	Insecta	Lepidoptera	Papilionoidea	Lycaenidae	Aricia_agestis	GCA_905147365.1
ilAteCent1.2	Insecta	Lepidoptera	Noctuoidea	Noctuidae	Atethmia_centrago	GCA_905333075.2
ilAutGamm1.1	Insecta	Lepidoptera	Noctuoidea	Noctuidae	Autographa_gamma	GCA_905146925.1
ilAutPulc1.1	Insecta	Lepidoptera	Noctuoidea	Noctuidae	Autographa_pulchrina	GCA_905475315.1
ilBisBetu1.1	Insecta	Lepidoptera	Geometroidea	Geometridae	Biston_betularia	GCA_905404145.1
ilBlaAdus2.1	Insecta	Lepidoptera	Gelechioidea	Blastobasidae	Blastobasis_adustella	GCA_907269095.1
ilBlaLact1.1	Insecta	Lepidoptera	Gelechioidea	Blastobasidae	Blastobasis_lacticolella	GCA_905147135.1
ilBolSele5.2	Insecta	Lepidoptera	Papilionoidea	Nymphalidae	Boloria_selene	GCA_905231865.2
Bmori_2016v1.0	Insecta	Lepidoptera	Bombycoidea	Bombycidae	Bombyx_mori	GCA_014905235.2
ASM1460749v1	Insecta	Lepidoptera	Gelechioidea	Carposinidae	Carposina_sasakii	GCA_014607495.1
ilCelArgi3.1	Insecta	Lepidoptera	Papilionoidea	Lycaenidae	Celastrina_argiolus	GCA_905187575.1
ilCloCurt1.1	Insecta	Lepidoptera	Noctuoidea	Notodontidae	Clostera_curtula	GCA_905475355.1
ASM1485141v1	Insecta	Lepidoptera	Pyraloidea	Crambidae	Cnaphalocrocis_medinalis	GCA_014851415.1
ilColCroc2.1	Insecta	Lepidoptera	Papilionoidea	Pieridae	Colias_croceus	GCA_905220415.1
ilCosTrap1.1	Insecta	Lepidoptera	Noctuoidea	Noctuidae	Cosmia_trapezina	GCA_905163495.1
ilCraLigu1.1	Insecta	Lepidoptera	Noctuoidea	Noctuidae	Craniophora_ligustri	GCA_905163465.1
ilCroElin1.1	Insecta	Lepidoptera	Geometroidea	Geometridae	Crocallis_elinguaria	GCA_907269065.1
ilCyaSemi1.1	Insecta	Lepidoptera	Papilionoidea	Lycaenidae	Cyaniris_semiargus	GCA_905187585.1
MEX_DaPlex	Insecta	Lepidoptera	Papilionoidea	Nymphalidae	Danaus_plexippus	GCA_018135715.1
ilDeiPorc1.1	Insecta	Lepidoptera	Bombycoidea	Sphingidae	Deilephila_porcellus	GCA_905220455.1
ASM1227379v1	Insecta	Lepidoptera	Bombycoidea	Lasiocampidae	Dendrolimus_punctatus	GCA_012273795.1
ASM1756216v1	Insecta	Lepidoptera	Geometroidea	Geometridae	Ectropis_grisescens	GCA_017562165.1
ilEndFlam1.1	Insecta	Lepidoptera	Pyraloidea	Pyralidae	Endotricha_flammealis	GCA_905163395.1
ilEnnFusc2.1	Insecta	Lepidoptera	Geometroidea	Geometridae	Ennomos_fuscantarius	GCA_905220475.1
Eelu-V1	Insecta	Lepidoptera	Pyraloidea	Pyralidae	Ephestia_elutella	GCA_018467065.1
ilEraDefo1.1	Insecta	Lepidoptera	Geometroidea	Geometridae	Erannis_defoliaria	GCA_905404285.1
ilEryTage1.1	Insecta	Lepidoptera	Papilionoidea	Hesperiidae	Erynnis_tages	GCA_905147235.1
ilEupSimi1.1	Insecta	Lepidoptera	Noctuoidea	Erebidae	Euproctis_similis	GCA_905147225.1
ilFabAdip1.1	Insecta	Lepidoptera	Papilionoidea	Nymphalidae	Fabriciana_adippe	GCA_905404265.1
ilGlaAlex1.1	Insecta	Lepidoptera	Papilionoidea	Lycaenidae	Glaucopsyche_alexis	GCA_905404095.1
ilHabPyri1.1	Insecta	Lepidoptera	Drepanoidea	Drepanidae	Habrosyne_pyritoides	GCA_907165245.1
ilHecDyso1.1	Insecta	Lepidoptera	Noctuoidea	Noctuidae	Hecatera_dysodea	GCA_905332915.1
ilHedSali1.1	Insecta	Lepidoptera	Torticoidea	Tortricidae	Hedya_salicella	GCA_905404275.1
iHemFuc1.1	Insecta	Lepidoptera	Bombycoidea	Sphingidae	Hemaris_fuciformis	GCA_907164795.1
ilHesComm1.1	Insecta	Lepidoptera	Papilionoidea	Hesperiidae	Hesperia_comma	GCA_905404135.1
ilHylFasc1.1	Insecta	Lepidoptera	Geometroidea	Geometridae	Hylaea_fasciaria	GCA_905147375.1
ilHypProb1.1	Insecta	Lepidoptera	Noctuoidea	Erebidae	Hypena_proboscidalis	GCA_905147285.1
ilIdaAver1.1	Insecta	Lepidoptera	Geometroidea	Geometridae	Idaea_aversata	GCA_907269075.1
ilAglIoxx1.1	Insecta	Lepidoptera	Papilionoidea	Nymphalidae 	Inachis_io	GCA_905147045.1
ilLaoPopu1.1	Insecta	Lepidoptera	Bombycoidea	Sphingidae	Laothoe_populi	GCA_905220505.1
ilLasFlex1.1	Insecta	Lepidoptera	Noctuoidea	Erebidae	Laspeyria_flexula	GCA_905147015.1
ilLepSina1.1	Insecta	Lepidoptera	Papilionoidea	Pieridae	Leptidea_sinapis	GCA_905404315.1
ilLimCami1.1	Insecta	Lepidoptera	Papilionoidea	Nymphalidae	Limenitis_camilla	GCA_905147385.1
ilLycPhla1.1	Insecta	Lepidoptera	Papilionoidea	Lycaenidae	Lycaena_phlaeas	GCA_905333005.1
ilLymMona1.1	Insecta	Lepidoptera	Noctuoidea	Erebidae	Lymantria_monacha	GCA_905163515.1
ilLysBell1.1	Insecta	Lepidoptera	Papilionoidea	Lycaenidae	Lysandra_bellargus	GCA_905333045.1
ilLysCori1.1	Insecta	Lepidoptera	Papilionoidea	Lycaenidae	Lysandra_coridon	GCA_905220515.1
ilMamBras1.1	Insecta	Lepidoptera	Noctuoidea	Noctuidae	Mamestra_brassicae	GCA_905163435.1
JHU_Msex_v1.0	Insecta	Lepidoptera	Bombycoidea	Sphingidae 	Manduca_sexta	GCA_014839805.1
iAphHyp1.2	Insecta	Lepidoptera	Papilionoidea	Nymphalidae	Maniola_hyperantus	GCA_902806685.2
ilManJurt1.1	Insecta	Lepidoptera	Papilionoidea	Nymphalidae	Maniola_jurtina	GCA_905333055.1
ilMelCinx1.1	Insecta	Lepidoptera	Papilionoidea	Nymphalidae	Melitaea_cinxia	GCA_905220565.1
ilMelAtha1.1	Insecta	Lepidoptera	Papilionoidea	Nymphalidae	Mellicta_athalia	GCA_905220545.1
ilMimTili1.1	Insecta	Lepidoptera	Bombycoidea	Sphingidae	Mimas_tiliae	GCA_905332985.1
ilMytImpu1.1	Insecta	Lepidoptera	Noctuoidea	Noctuidae	Mythimna_impura	GCA_905147345.1
ilNocFimb1.1	Insecta	Lepidoptera	Noctuoidea	Noctuidae	Noctua_fimbriata	GCA_905163415.1
ilNocPron1.1	Insecta	Lepidoptera	Noctuoidea	Noctuidae	Noctua_pronuba	GCA_905220335.1
ilNotUddm1.1	Insecta	Lepidoptera	Torticoidea	Tortricidae	Notocelia_uddmanniana	GCA_905163555.1
ilNotDrom1.1	Insecta	Lepidoptera	Noctuoidea	Notodontidae	Notodonta_dromedarius	GCA_905147325.1
ilNymPoly1.1	Insecta	Lepidoptera	Papilionoidea	Nymphalidae	Nymphalis_polychloros	GCA_905220585.1
ilAglUrti1.1	Insecta	Lepidoptera	Papilionoidea	Nymphalidae 	Nymphalis_urticae	GCA_905147175.1
ilOchSylv3.1	Insecta	Lepidoptera	Papilionoidea	Hesperiidae	Ochlodes_sylvanus	GCA_905404295.1
ilOchPlec1.1	Insecta	Lepidoptera	Noctuoidea	Noctuidae	Ochropleura_plecta	GCA_905475445.1
ilParAegt1.1	Insecta	Lepidoptera	Papilionoidea	Nymphalidae	Pararge_aegeria	GCA_905163445.1
ilPhaBuce1.1	Insecta	Lepidoptera	Noctuoidea	Notodontidae	Phalera_bucephala	GCA_905147815.1
ilPheGnom1.1	Insecta	Lepidoptera	Noctuoidea	Notodontidae	Pheosia_gnoma	GCA_905404115.1
ilPheTrem1.1	Insecta	Lepidoptera	Noctuoidea	Notodontidae	Pheosia_tremula	GCA_905333125.1
ilPhlMeti2.1	Insecta	Lepidoptera	Noctuoidea	Noctuidae	Phlogophora_meticulosa	GCA_905147745.1
ilPieBrab1.1	Insecta	Lepidoptera	Papilionoidea	Pieridae	Pieris_brassicae	GCA_905147105.1
ilPieNapi1.1	Insecta	Lepidoptera	Papilionoidea	Pieridae	Pieris_napi	GCA_905475465.1
ilPleArgu1.1	Insecta	Lepidoptera	Papilionoidea	Lycaenidae	Plebejus_argus	GCA_905404155.1
ilSchCost1.1	Insecta	Lepidoptera	Noctuoidea	Erebidae	Schrankia_costaestrigalis	GCA_905475405.1
ilSpiLubr1.1	Insecta	Lepidoptera	Noctuoidea	Erebidae	Spilosoma_lubricipeda	GCA_905220595.1
NJAU_Sexi_v1	Insecta	Lepidoptera	Noctuoidea	Noctuidae	Spodoptera_exigua	GCA_011316535.1
ASM1297921v2	Insecta	Lepidoptera	Noctuoidea	Noctuidae	Spodoptera_frugiperda	GCA_012979215.2
ASM270686v2	Insecta	Lepidoptera	Noctuoidea	Noctuidae	Spodoptera_litura	GCA_002706865.2
ilThyBati1.1	Insecta	Lepidoptera	Drepanoidea	Drepanidae	Thyatira_batis	GCA_905147785.1
ilTinTrin1.1	Insecta	Lepidoptera	Tineoidea	Tineidae	Tinea_trinotella	GCA_905220615.1
ilVanAtal1.1	Insecta	Lepidoptera	Papilionoidea	Nymphalidae	Vanessa_atalanta	GCA_905147765.1
ilVanCard2.1	Insecta	Lepidoptera	Papilionoidea	Nymphalidae	Vanessa_cardui	GCA_905220365.1
ilXesXant1.1	Insecta	Lepidoptera	Noctuoidea	Noctuidae	Xestia_xanthographa	GCA_905147715.1
Zerene_cesonia_1.1	Insecta	Lepidoptera	Papilionoidea	Pieridae	Zerene_cesonia	GCA_012273895.2
ilZeuPyri1.1	Insecta	Lepidoptera	Cossoidea	Cossidae	Zeuzera_pyrina	GCA_907165235.1
ilZygFili1.1	Insecta	Lepidoptera	Zygaeinoidea	Zygaenidae	Zygaena_filipendulae	GCA_907165275.1
